x ,y,,x y,More Info URL,Settlement,,Author,Description,,Themes,NPCs

00,12,,0012,Grassland,IRIDIUM VALKYRIE,,Jacob Hurst,"The wreck of The [[IRIDIUM VALKYRIE]]. Emergency beacon still running, and the frigate's hull is coated in growths of red crystal.",,,

00,13,,0013,Forested Mountains,,,Patrick Stuart,Self-upgraded cyborg factory girls with punk-hacked indenture-chips hurry to repair abandoned fleet of titanium-sleeve rocket cycles for violent anarchist-feedom-haj to Hex [[0902]],,,

01,03,,0103,Mountains,,,Piratanegro Libre,"Chromed alien gate on top of the mountain, who crosses it, will end in a hexagon with stars, being sucked into the emptiness of space.",,,

01,04,,0104,Forested Hills,,,Konstantin M,A vast clone-growing facility has been claimed by the forest. The operators have gone cargo-cult; offer sacrifices to the void-vultures; will trade for crystal. They pay tribute to the mind-sculptor from Hex [[0202]].,,,

01,05,,0105,Forest,,,Judd Karlman,Village of the clones descended from Hex [[0104]]. They see the former operators as holy prophets of the <<Mind-Sculptor<< from [[0202]].,,Mind-Sculptor,

01,08,,0108,Forest,,,David Brawley,"A great stone tower juts from the edge of the land, a great mass of lenses peering out into the darkness. NecroCybernetic and robotic caretakers don't take kindly to visitors.",,,

01,11,,0111,Grassland,,,Ramanan S,"A pack of giant tigers stalk these plains. They use their telepathic powers to track their prey, and can communicate with any creature regardless of the language they speak.",,,

01,12,,0112,Starfruit Forest,HALEWOOD,,Ed Hackett,"The trees of [[HALEWOOD]] are sentient and communicate by physically ""interfacing"" with other sentient creatures. This process is painful and potentially lethal to non-vegetation.",,,

01,13,,0113,Forested Mountains,,,Judd Karlman,"Biodegradable rocket graveyard, where dead rockets were buried causing the trees to dream of distant stars and any ore mined in the hills to give off radiation from alien stars.",,,

02,01,,0201,Mountains,,,Shaine Edwards,A tribe of <<Glamazons<< live in the shadow of the volcano in Hex [[0202]]. Each daughter of the tribe that carries an unbroken ostrich egg to the volcano may join the ranks of the <<War Witches<<.,,Glamazons; War Witches,

02,02,,0202,Volcano (Extinct),,,Patrick Stuart,The {{Mind-Scuptor}} dwells in a chromium lattice formed in the decaying core of an extinct volcano. His War Witch {{Onero-Cyber}} flocks hunt the Noosphere for tantilising minds for him to mold.,,Mind-Sculptor,Mind-Sculptor; Onero-Cyber

02,03,,0203,Mountains,,,Judd Karlman,"The coven of the <<Orthodox War Witches<<, who follow the hunting directions of none but the Crystal Demon-God, an ancient AI.",,Orthodox War Witches,

02,04,,0204,Forested Mountains,,,Ed Hackett,2d4 Mutant predators hunt here as a pack. 25% chance they already have a fresh kill.,,,

02,05,,0205,Forested Hills,,,Joey Lindsey,"Defective/deformed clones from Hex [[0104]] and Hex [[0105]] have an insular settlement in old mine shafts, stealing from surface travelers and raising huge fungus forests underground. When they come of age they ""ascend"", which means replacing their heads with ancient square ""image receptors"" scavenged from a buried spaceship.",,,

02,06,,0206,Forest,,,Shaine Edwards,"Void Vultures perch atop the head of a titanic war golem half buried near the edge. A wizard camps nearby, hoping to unlock the secret of the ancient Head.",,,

02,08,,0208,Forest,,,Konstantin M,"The anti-grav domes of a flooded lab are now home to the <<Moon-Children<<, who seek refuge from the warp-storm. Naive, scared, tendrilled and incredibly powerful psions. Like to grow horrors in the bio-lab and watch them play in nearby hexes.",,Moon-Children,

02,12,,0212,Grassland,A VILLAGE,,David Brawley,"[[A VILLAGE]] sits on the crumbling edge, it's people refuse to leave, believing their fate is tied to the land. The doom cult is fostered by a flame haired cyborg woman.",,,

02,13,,0213,Starfruit Forest,HALEWOOD,,Jacob Hurst,"[[HALEWOOD]] continues from Hex [[0112]]. The last regiment of General Raxxis Novasmasher have been biowelded to the trunks of 20,000 iridescent oak trees awaiting an awakening that may never come.",,,

