x,y,,Hex,Terrain,Settlement,Date,Author,Description,More Info URL,Themes
01,01,,0101,,,1365558380,Reece Carter,"Large old dormant volcano, there is a cave (dungeon) that leads deep into it and at the bottom of it their is a wizard who is trying to tap into the volcano for power, and his lava abomination minions",,
01,02,,0102,,NAS AKHU KHAN SHE EN ASBIN,1365558472,Zak Smith,"City of [[NAS AKHU KHAN SHE EN ASBIN]] Built around the skull-faced sphinx of Temple of the Red Sun, occupied by the Rusted Lich, his 20,000 githyanki and the Maidens Of The Powerslave.",,
01,03,,0103,,SALT HILLS OF ZUHN,1365558623,Wayne Snyder,The [[SALT HILLS OF ZUHN]] are frequented by the slave gangs of the Mughali Salt Merchants and home to wandering bands of dust ghouls. Caves here often hold fresh water pools and bizarre crystal formations.,,
01,04,,0104,,BLACK MONASTERY,1365559180,Ray Colina,Nestled among the mountain tops here is the [[BLACK MONASTERY]]. Training grounds for the Hallowed Slayers of the Assassin God.,,
01,05,,0105,,,1365559193,Chris H,The brave and desperate mine for rare pieces of high quality obsidian in this igneous rock field infamous for swallowing men whole. Rumor has it there is a stable yet circuitous path through to Hex [[0104]];. Beware of the fire-o-manders.,,
01,06,,0106,desert,,1365559256,David Pretty,"At the approximate center of this hex is a giant desiccated cactus with several bodies lying around it. If the bodies are disturbed in any way a swarm of These things emerge from the cactus: <a href=""http://www.camelspiders.org/wordpress/wp-content/uploads/Camel_Spider.jpg"" class=""ot-anchor"" rel=""nofollow"">http://www.camelspiders.org/wordpress/wp-content/uploads/Camel_Spider.jpg</a>",,
01,07,,0107,desert,,1365559269,Michael Raston,"Ancient ruins arranged in a circle, moving to the center will teleport would be archaeologists north to Hex [[0106]]. Cultists obsessed with repetition and double-ups lurk about the dunes and constantly pilgrimage from Hex [[0106]] to Hex [[0107]] and back again through the portal. <br />",,
01,08,,0108,desert,,1365559452,Zak Smith,"A dozen Jackal-men carrying the Eye of Nagrah Saar to the [[SALT HILLS OF ZUHN]] in Hex [[0103]] . Three are wizards, all carry khopesh swords.",,
01,09,,0109,desert,CHICOMECOATL,1365559477,Ramanan Sivaranjan,"Half submerged in a sand dune are the large obsidian doors that open into the ruined subterranean city of [[CHICOMECOATL]], at one time the Eastern capital of the long dead Snake-men.",,
01,10,,0110,desert,,1365559505,Steve Sigety,Caravan of Serpent-men traders. They sell potions made from their venom.,,
01,11,,0111,desert,,1365559759,Wayne Snyder,"A band of Suji Loo nomads have anchored their wind canoes here and made camp, while they observe a week of holy obligation.",,
01,12,,0112,desert,,1365559806,Zak Smith,Fresh water. Wild dogs.,,
01,13,,0113,desert,,1365559849,Zachary Zahringer,A slave filled pleasure house sits nestled between the dunes here waiting to fulfill weary travelers every desire. The slavers only take the rare spice Alu'eku as payment.,,
01,14,,0114,desert,,1365559920,Zak Smith,"Shining Trapezohedron of Nephren-Ka lies buried in the cruel sands. Through it can be see new worlds, stars, wonders, vast lands beyond the sea.",,
01,15,,0115,,,1365559955,Eric Boyd,"Kobolds (84 warriors, 51 noncombatants) live in the badlands here. Their leader is a huge burly mutant (stats as gnoll) in plate with a thirsty magic battleaxe - it does an extra 2 points of damage whenever it hits anything with blood.",,
01,16,,0116,,,1365560026,Ray Colina,"A group of bandits led by Aslal Horse-Eater live in these hills. They have a prisoner, a Jakalman, rail thin, covered in mange and raving about visions from the Carrion God in Hex [[0118]]",,
01,17,,0117,,,1365560140,Ramanan Sivaranjan,"A lone adventurer, raving mad, attempts to flee the desert wastes to the North East. He knows the secret of Hex [[0412]], but is not lucid enough to share it.",,
01,18,,0118,,THE JACKAL'S TOOTH,1365560211,Ben Djarum,"[[THE JACKAL'S TOOTH]] An extremely tall, treacherous mountain riddled with tunnels and caves. It is said to be home to [[JYAN AL-FAR]] Jackal-Headed God of Carrion.",,
01,19,,0119,,TEMPLE OF THE CRAWLING DEAD,1365560461,Zak Smith,"Scorpion-men guarding the [[TEMPLE OF THE CRAWLING DEAD]]. At its apex, corpses lay charred by emerald flame.",,
01,20,,0120,,,1365560514,Shoe Skogen,"A small group of young people, fleeing the [[TEMPLE OF THE CRAWLING DEAD]] in Hex [[0119]]. They are starving and frightened, quite eager to get back to their homes.",,
02,01,,0201,,,1365560518,Vincent Quigley,A Githzerayian sky barge wrecked in a rocky sand dune is now the lair of Dire sand moles. The sky barge came form a great city found in Hex [[0811]],,
02,02,,0202,,PSILOCYBEA,1365560557,Vincent Quigley,The Great Fungi City of [[PSILOCYBEA]] Ruled by Shaman-priests who can see through the veil of time with mushroom induced trances. They wage a guerrilla war with the City of [[NAS AKHU KHAN SHE EN ASBIN]] in Hex [[0102]] using suicidal deadly spore carrying spies.,,
02,03,,0203,,,1365567670,Josie Lindsey,"Mountains with twisting footpaths and sheer cliffs. The inhabitants of Hexes [[0102]], [[0103]], [[0104]], [[0202]] patrol for outsiders here, and have elaborate protocols for when they encounter each other. Some find their way from here to [[SYRINX]] in Hex [[0205]] without ever entering the mines in [[0204]].",,
02,04,,0204,,,1365560897,Ramanan Sivaranjan,The great strip mines that litter this region provide the rock needed to construct the numerous temples of [[SYRINX]] to the South.,,
02,05,,0205,desert,SYRINX,1365561027,Zak Smith,"[[SYRINX]] (City) The wailing, banshee-like priests of the great temples seem to provide all their subjects could desire but forbid all forms of entertainment, magic, or ecstatic transcendence. Their first and most sacred temple is rumored to be just to the northeast of Hex [[2012]] .",,
02,06,,0206,desert,,1365561046,Steve Sigety,A 20-foot tall statue of quartz projects from a sand dune at a strange angle. The headless figure is a humanoid dressed in royal robes.,,
02,07,,0207,desert,,1365561231,Wayne Snyder,The covered wagon of Goh Goh Helleborus the nefarious genital collector is half sunk into the shifting sands here. Goh Goh is no where to be found but the wagons contents are intact.,,
02,08,,0208,desert,,1365561257,Casey Garske,A corpse clings to the top of an obelisk engraved with hieroglyphics of tentacled worms. He climbed it weeks ago to escape the 1d6 graboids that will arrive 2 turns after the PCs find the obelisk.,,
02,09,,0209,desert,,1365561304,Ramanan Sivaranjan,A small oasis provides fresh water and a respite from the unbearable heat of the desert.,,
02,10,,0210,desert,,1365561366,Alex Williamson,This stretch of desert is dotted with tall brown and green cacti. A very clever strain of GiAnt-mantis has adapted it's natural camouflage to resemble such a cactus.,,
02,11,,0211,desert,,1365561486,Steve Sigety,Scarab swarm covering freshly-cleaned skeletons.,,
02,12,,0212,desert,,1365561595,Zak Smith,"Prince Abdel of Ruined [[NIZAHD]] is imprisoned in an underground complex here, his lower body turned made one with the gleaming onyx of his frozen throne.",,
02,13,,0213,desert,,1365561699,Zak Smith,"Bihza the Hunter roams the plain in a tusked dune mask, killing the great mantis ( Hex [[0210]] ) for its meat.",,
02,14,,0214,desert,,1365561787,Casey Garske,A perpetual sandstorm rages here. Wilderness Survival/Wisdom checks should be made to prevent getting lost and travel times are halved within the hex. In the center of the storm is a small tomb whose deepest catacombs lead to a tunnel to the dungeon in [[0212]].,,
02,15,,0215,desert,,1365561877,Shoe Skogen,"A little bit of stone sticking out of the sand, just enough to trip over, or break the wheel of a cart. If dug up, it looks to be a big statue of a woman with several heads and several arms. Scouting the surrounding area will reveal some weapons buried with her.",,
02,16,,0216,desert,,1365561936,Zak Smith,Mughali warriors in a pitched battle with Jackal-men on a bridge over a perilous gorge.,,
02,17,,0217,desert,,1365562038,Reece Carter,"Sand goblins stalk this area looking for unsuspecting travelers, they hide in crudely made camouflaged traps/holes and ambush travelers from underneath them",,
02,18,,0218,,TELLACH AVAIL,1365562222,Zak Smith,"High in the mountains, nearly touching the sky, are the domes and spires of the wondrous City of [[TELLACH AVAIL]] , home to the great Caliph Naxthrool, his craven vizier En Sabath Null and the stunning Labyrinth of Nightingales.",,
02,19,,0219,,,1365562239,Michael Raston,A kelp forest prowled by salt water crocodiles. Refuse (and lost items of value) end up here via the sewage of the City of [[TELLACH AVAIL]] in Hex [[0218]].,,
02,20,,0220,,,1365566736,Chris H,"A tribe of Nixie isolationist mages live in a series of deep, interconnected tidal pools at the center of this low island. The indigenous Giant Crabs are under the Nixies' thrall and defend the island from all intruders.",,
03,01,,0301,desert,,1365562678,Steve Sigety,Floating City-Temple of the Illustrious Djinni.,,
03,02,,0302,desert,,1365562743,Zak Smith,A caravan of fire-worshippers proceeds inexorably toward a land they call 'Nazaraleth'.,,
03,03,,0303,desert,,1365562832,Wayne Snyder,The ruins of a Mughali outpost. The entire settlement is covered in vibrantly colored toxic fungal growths.,,
03,04,,0304,,NIZAHD,1365562992,Zak Smith,"In [[NIZAHD]], Ruined City of The Accursed the once great spires lie shattered and slanted while colossal beasts heave themselves through the rubble. It is said a great palace of Djinn fell from the sky due to the greed of a knight from the west.",,
03,05,,0305,,,1365563008,Chris H,The Blessed Silt River makes its first appearance above ground in this verdant forest of abundant wildlife known by locals as &quot;The Grove&quot;. The river emerges from a sheer obsidian cliff face. It is rumored possible to follow the river underground through Hex [[0104]] all the way to Hex [[0101]].,,
03,06,,0306,desert,,1365563117,Brian Green,A 5'x5' stone floor rests in the middle of the sand here. It is a very lost trapper monster.,,
03,07,,0307,desert,,1365563236,Casey Garske,"A raiding party from [[NAS AKHU KHAN SHE EN ASBIN]] in Hex [[0102]] is riding down upon a north-bound trade caravan laden with silks, spices and treasure due for a royal wedding in the Hexenbracken. Rescuers will be well rewarded.",,
03,08,,0308,desert,,1365563251,Ben Djarum,"A 20' circle of mysterious ancient stones. During moonless nights, a gynosphinx may be summoned here with a proper offering.",,
03,09,,0309,desert,,1365564597,Zak Smith,"The Panopticon of Isis. It is said that should the Shining Trapezohedron of Nephren-Ka ( Hex [[0114]] ) be placed in the center of this strange structure, the secret of controlling the Five Signals of the Celestial Sea will be revealed.",,
03,10,,0310,desert,,1365564610,Anthony Picaro,"The sand in this hex is only 3' deep, below which is a thick sheet of glass, miles across. In certain places, caverns can be seen below.",,
03,11,,0311,desert,,1365564890,Ramanan Sivaranjan,"The size of a small village, the giant turtle Ixilithi lays sleeping in the sand.",,
03,12,,0312,desert,,1365565043,Shoe Skogen,"A shallow depression in the sand, that grows deeper when disturbed, Underneath is a tiny entrance to the underground Glass Caverns (Hex [[0310]]), about as big as a dinner platter.",,
03,13,,0313,desert,,1365565342,Chris H,"A village of Pangolin Men live here and cultivate cacti for the desert termites they farm to inhabit. Although peaceful by nature and welcoming of those willing to trade, the Pangolin Men are capable warriors who's scales provide a natural armor bonus.",,
03,14,,0314,desert,,1365577193,Chris H,A Giant Flesh-Eating Cactus creates mirages to lure the unwary in to its pit traps of digestive acid. Diminutive Ant-men from the south regularly visit the cactus to retrieve useful items from the pits as they are immune to both the Cactus' magic and its digestive acid.,,
03,15,,0315,desert,,1365565663,Jacob Hurst,A small sandstone ruin contains the skeleton of a small child holding a large tarnished brass plate that may have once been a reflecting device. A ruined book nearby contains the remains of crude sketchwork and bears the initials &quot;L.P.&quot;,,
03,16,,0316,desert,,1365565933,Jacob Hurst,The desert drops away suddenly to reveal a lush oasis in a box canyon of red sandstone. Scintillating Nightingales prized by the Caliph Naxthrool of [[TELLACH AVAIL]] Hex [[0218]] can be found here but are guarded by the Jackalwoman shaman Rezivia and her twelve sons.,,
03,17,,0317,desert,,1365565851,Michael Raston,"Seething pools, puddles and small lakes are scattered across this hex that look like deep red and beige tar pits. Gollems made of this goop will occasionally form and dance in the moonlight before devolving back into goop.",,
03,18,,0318,,KAZEL KAMAK,1365566391,Ben Djarum,The molten glass volcano of [[KAZEL KAMAK]] where the Seven Colossi of Kazel sleep. Seven golems of basalt under the command of an unknown force. It is said that Caliph Naxthrool (Hex [[0218]]) is seeking to gain control of the giant constructs.,,
